game,season,home_team,away_team,starting_min,home_0,home_1,home_2,home_3,home_4,away_0,away_1,away_2,away_3,away_4
201310310LAC,2014,GSW,LAC,40,Andre Iguodala,Andrew Bogut,David Lee,Klay Thompson,Stephen Curry,Blake Griffin,Chris Paul,DeAndre Jordan,Jamal Crawford,Jared Dudley
201310310LAC,2014,LAC,GSW,43,Blake Griffin,Chris Paul,DeAndre Jordan,J.J. Redick,Jared Dudley,Andre Iguodala,Andrew Bogut,David Lee,Klay Thompson,Stephen Curry
201310310LAC,2014,GSW,LAC,45,Andre Iguodala,Andrew Bogut,Draymond Green,Klay Thompson,Stephen Curry,Chris Paul,DeAndre Jordan,J.J. Redick,Jared Dudley,Matt Barnes
201310310LAC,2014,GSW,LAC,47,Andre Iguodala,Andrew Bogut,Draymond Green,Klay Thompson,Stephen Curry,Chris Paul,DeAndre Jordan,J.J. Redick,Jamal Crawford,Jared Dudley
201311010SAC,2014,SAC,LAC,0,DeMarcus Cousins,Greivis Vasquez,John Salmons,Marcus Thornton,Patrick Patterson,Blake Griffin,Chris Paul,DeAndre Jordan,J.J. Redick,Jared Dudley
201311010SAC,2014,LAC,SAC,6,Blake Griffin,Chris Paul,DeAndre Jordan,J.J. Redick,Matt Barnes,DeMarcus Cousins,Greivis Vasquez,John Salmons,Marcus Thornton,Patrick Patterson
201311010SAC,2014,LAC,SAC,9,Blake Griffin,Chris Paul,DeAndre Jordan,Jamal Crawford,Matt Barnes,DeMarcus Cousins,Isaiah Thomas,Jason Thompson,John Salmons,Marcus Thornton
201311010SAC,2014,LAC,SAC,10,Blake Griffin,Darren Collison,DeAndre Jordan,Jamal Crawford,Matt Barnes,Ben McLemore,DeMarcus Cousins,Isaiah Thomas,Jason Thompson,John Salmons
201311010SAC,2014,LAC,SAC,11,Blake Griffin,Byron Mullens,Darren Collison,Jamal Crawford,Matt Barnes,Ben McLemore,Chuck Hayes,Isaiah Thomas,Jason Thompson,Travis Outlaw
201311010SAC,2014,LAC,SAC,12,Byron Mullens,Darren Collison,Jamal Crawford,Matt Barnes,Ryan Hollins,Ben McLemore,Chuck Hayes,Isaiah Thomas,Jason Thompson,Travis Outlaw
201311010SAC,2014,LAC,SAC,15,Byron Mullens,Darren Collison,Jamal Crawford,Matt Barnes,Ryan Hollins,Chuck Hayes,Isaiah Thomas,Jason Thompson,Marcus Thornton,Travis Outlaw
201311010SAC,2014,SAC,LAC,16,DeMarcus Cousins,Isaiah Thomas,Jason Thompson,Marcus Thornton,Travis Outlaw,Byron Mullens,Darren Collison,DeAndre Jordan,Jamal Crawford,Matt Barnes
201311010SAC,2014,LAC,SAC,17,Blake Griffin,Chris Paul,DeAndre Jordan,Jamal Crawford,Matt Barnes,DeMarcus Cousins,Isaiah Thomas,Jason Thompson,Marcus Thornton,Travis Outlaw
201311010SAC,2014,SAC,LAC,18,DeMarcus Cousins,Isaiah Thomas,Jason Thompson,Marcus Thornton,Travis Outlaw,Blake Griffin,Chris Paul,DeAndre Jordan,J.J. Redick,Jared Dudley
201311010SAC,2014,LAC,SAC,19,Blake Griffin,Chris Paul,DeAndre Jordan,J.J. Redick,Jared Dudley,DeMarcus Cousins,Isaiah Thomas,Jason Thompson,John Salmons,Marcus Thornton
201311010SAC,2014,LAC,SAC,21,Blake Griffin,Chris Paul,DeAndre Jordan,J.J. Redick,Jared Dudley,DeMarcus Cousins,Greivis Vasquez,Jason Thompson,John Salmons,Marcus Thornton
201311010SAC,2014,LAC,SAC,22,Blake Griffin,Chris Paul,DeAndre Jordan,J.J. Redick,Jared Dudley,DeMarcus Cousins,Greivis Vasquez,Isaiah Thomas,Jason Thompson,John Salmons
201311010SAC,2014,LAC,SAC,24,Blake Griffin,Chris Paul,DeAndre Jordan,J.J. Redick,Jared Dudley,DeMarcus Cousins,Greivis Vasquez,John Salmons,Marcus Thornton,Patrick Patterson
201311010SAC,2014,SAC,LAC,31,DeMarcus Cousins,Greivis Vasquez,Jason Thompson,John Salmons,Marcus Thornton,Blake Griffin,Chris Paul,J.J. Redick,Jared Dudley,Ryan Hollins
201311010SAC,2014,LAC,SAC,32,Blake Griffin,Chris Paul,Jamal Crawford,Matt Barnes,Ryan Hollins,DeMarcus Cousins,Isaiah Thomas,Jason Thompson,John Salmons,Marcus Thornton
201311010SAC,2014,LAC,SAC,33,Blake Griffin,Chris Paul,Jamal Crawford,Matt Barnes,Ryan Hollins,DeMarcus Cousins,Isaiah Thomas,Jason Thompson,Marcus Thornton,Travis Outlaw
201311010SAC,2014,SAC,LAC,34,Ben McLemore,DeMarcus Cousins,Isaiah Thomas,Jason Thompson,Travis Outlaw,Blake Griffin,Byron Mullens,Chris Paul,Jamal Crawford,Matt Barnes
201311010SAC,2014,LAC,SAC,35,Blake Griffin,Byron Mullens,Chris Paul,Jamal Crawford,Matt Barnes,Ben McLemore,Chuck Hayes,Isaiah Thomas,Jason Thompson,Travis Outlaw
