game,season,home_team,away_team,starting_min,home_0,home_1,home_2,home_3,home_4,away_0,away_1,away_2,away_3,away_4,outcome
201311010SAC,2014,SAC,LAC,36,Ben McLemore,DeMarcus Cousins,Isaiah Thomas,Jason Thompson,Travis Outlaw,Blake Griffin,Byron Mullens,Chris Paul,Jamal Crawford,Matt Barnes,1
201311010SAC,2014,SAC,LAC,37,Ben McLemore,Chuck Hayes,Isaiah Thomas,Jason Thompson,Travis Outlaw,Blake Griffin,Byron Mullens,Darren Collison,Jamal Crawford,Matt Barnes,-1
201311010SAC,2014,SAC,LAC,40,Ben McLemore,Chuck Hayes,Isaiah Thomas,Jason Thompson,Travis Outlaw,Blake Griffin,Byron Mullens,Chris Paul,Jamal Crawford,Matt Barnes,1
201311010SAC,2014,SAC,LAC,42,DeMarcus Cousins,Isaiah Thomas,Jason Thompson,Marcus Thornton,Travis Outlaw,Blake Griffin,Byron Mullens,Chris Paul,Jamal Crawford,Matt Barnes,-1
201311010SAC,2014,SAC,LAC,43,DeMarcus Cousins,Isaiah Thomas,Jason Thompson,John Salmons,Marcus Thornton,Blake Griffin,Chris Paul,DeAndre Jordan,J.J. Redick,Jared Dudley,1
201311010SAC,2014,SAC,LAC,46,DeMarcus Cousins,Isaiah Thomas,John Salmons,Marcus Thornton,Patrick Patterson,Blake Griffin,Chris Paul,DeAndre Jordan,J.J. Redick,Jared Dudley,1
201311040LAC,2014,LAC,HOU,0,Blake Griffin,Chris Paul,DeAndre Jordan,J.J. Redick,Jared Dudley,Chandler Parsons,Dwight Howard,James Harden,Jeremy Lin,Omer Asik,1
201311040LAC,2014,LAC,HOU,7,Blake Griffin,Chris Paul,DeAndre Jordan,J.J. Redick,Jared Dudley,Chandler Parsons,James Harden,Jeremy Lin,Omer Asik,Omri Casspi,1
201311040LAC,2014,LAC,HOU,10,Blake Griffin,Chris Paul,DeAndre Jordan,J.J. Redick,Jamal Crawford,Chandler Parsons,Francisco Garcia,Jeremy Lin,Omer Asik,Omri Casspi,-1
201311040LAC,2014,LAC,HOU,11,Blake Griffin,Chris Paul,J.J. Redick,Jamal Crawford,Matt Barnes,Aaron Brooks,Chandler Parsons,Dwight Howard,Francisco Garcia,Omri Casspi,1
201311040LAC,2014,LAC,HOU,12,Byron Mullens,Darren Collison,J.J. Redick,Jamal Crawford,Matt Barnes,Aaron Brooks,Chandler Parsons,Francisco Garcia,Greg Smith,Omri Casspi,-1
201311040LAC,2014,LAC,HOU,13,Byron Mullens,Darren Collison,Jamal Crawford,Jared Dudley,Matt Barnes,Aaron Brooks,Francisco Garcia,Greg Smith,James Harden,Omri Casspi,-1
201311040LAC,2014,LAC,HOU,14,Darren Collison,DeAndre Jordan,Jamal Crawford,Jared Dudley,Matt Barnes,Aaron Brooks,Francisco Garcia,Greg Smith,James Harden,Omri Casspi,-1
201311040LAC,2014,LAC,HOU,16,Darren Collison,DeAndre Jordan,Jamal Crawford,Jared Dudley,Matt Barnes,Francisco Garcia,Greg Smith,James Harden,Jeremy Lin,Omri Casspi,-1
201311040LAC,2014,LAC,HOU,17,Blake Griffin,Darren Collison,DeAndre Jordan,Jamal Crawford,Jared Dudley,Francisco Garcia,Greg Smith,James Harden,Jeremy Lin,Omri Casspi,-1
201311040LAC,2014,LAC,HOU,18,Blake Griffin,Chris Paul,DeAndre Jordan,Jamal Crawford,Jared Dudley,Chandler Parsons,Francisco Garcia,James Harden,Jeremy Lin,Omer Asik,1
201311040LAC,2014,LAC,HOU,19,Blake Griffin,Chris Paul,DeAndre Jordan,J.J. Redick,Jamal Crawford,Chandler Parsons,Francisco Garcia,James Harden,Jeremy Lin,Omer Asik,-1
201311040LAC,2014,LAC,HOU,21,Blake Griffin,Chris Paul,DeAndre Jordan,J.J. Redick,Jamal Crawford,Chandler Parsons,James Harden,Jeremy Lin,Omer Asik,Omri Casspi,1
201311040LAC,2014,LAC,HOU,23,Blake Griffin,Chris Paul,J.J. Redick,Jamal Crawford,Matt Barnes,Chandler Parsons,James Harden,Jeremy Lin,Omer Asik,Omri Casspi,-1
201311040LAC,2014,LAC,HOU,24,Chris Paul,Jamal Crawford,Jared Dudley,Matt Barnes,Ryan Hollins,Aaron Brooks,Chandler Parsons,James Harden,Omer Asik,Omri Casspi,-1
201311040LAC,2014,LAC,HOU,25,Blake Griffin,Chris Paul,DeAndre Jordan,J.J. Redick,Jared Dudley,Chandler Parsons,Dwight Howard,James Harden,Jeremy Lin,Omer Asik,1
201311040LAC,2014,LAC,HOU,30,Blake Griffin,Byron Mullens,Chris Paul,J.J. Redick,Jared Dudley,Chandler Parsons,Dwight Howard,James Harden,Jeremy Lin,Omer Asik,1
201311040LAC,2014,LAC,HOU,32,Blake Griffin,Byron Mullens,Chris Paul,J.J. Redick,Jared Dudley,Aaron Brooks,Chandler Parsons,Dwight Howard,James Harden,Omri Casspi,-1
201311040LAC,2014,LAC,HOU,33,Byron Mullens,Chris Paul,J.J. Redick,Jared Dudley,Matt Barnes,Aaron Brooks,Chandler Parsons,Dwight Howard,James Harden,Omri Casspi,-1
201311040LAC,2014,LAC,HOU,34,Byron Mullens,Darren Collison,Jamal Crawford,Jared Dudley,Matt Barnes,Aaron Brooks,Dwight Howard,Francisco Garcia,James Harden,Omri Casspi,-1
201311040LAC,2014,LAC,HOU,37,Byron Mullens,Darren Collison,Jamal Crawford,Jared Dudley,Matt Barnes,Aaron Brooks,Chandler Parsons,Dwight Howard,Francisco Garcia,Omri Casspi,-1
201311040LAC,2014,LAC,HOU,38,Byron Mullens,Chris Paul,Jamal Crawford,Jared Dudley,Matt Barnes,Aaron Brooks,Chandler Parsons,Dwight Howard,Francisco Garcia,Omri Casspi,1
201311040LAC,2014,LAC,HOU,39,Blake Griffin,Chris Paul,DeAndre Jordan,J.J. Redick,Jamal Crawford,Aaron Brooks,Chandler Parsons,Dwight Howard,Francisco Garcia,Omri Casspi,-1
201311040LAC,2014,LAC,HOU,41,Blake Griffin,Chris Paul,DeAndre Jordan,Jamal Crawford,Jared Dudley,Chandler Parsons,Dwight Howard,Francisco Garcia,Jeremy Lin,Omri Casspi,1
201311040LAC,2014,LAC,HOU,44,Blake Griffin,Chris Paul,DeAndre Jordan,Jamal Crawford,Jared Dudley,Chandler Parsons,Donatas Motiejunas,Greg Smith,Jeremy Lin,Ronnie Brewer,-1
201311040LAC,2014,LAC,HOU,45,Byron Mullens,Darren Collison,Jamal Crawford,Reggie Bullock,Ryan Hollins,Donatas Motiejunas,Greg Smith,Jeremy Lin,Ronnie Brewer,Terrence Jones,1
201311040LAC,2014,LAC,HOU,47,Byron Mullens,Darren Collison,Jamal Crawford,Reggie Bullock,Ryan Hollins,Aaron Brooks,Donatas Motiejunas,Greg Smith,Ronnie Brewer,Terrence Jones,-1
201311060ORL,2014,ORL,LAC,0,Arron Afflalo,Jameer Nelson,Jason Maxiell,Maurice Harkless,Nikola Vucevic,Blake Griffin,Chris Paul,DeAndre Jordan,J.J. Redick,Jared Dudley,1
